"Time","V(n02)","I(L1)"
0,2.0015322977629,0.0479983764451534
3.2e-12,2.0015322977629,0.0479983764451534
6.4e-12,2.0015322977629,0.0479983764451534
1.28e-11,2.0015322977629,0.0479983764451534
2.56e-11,2.0015322977629,0.0479983764451535
5.12e-11,2.0015322977629,0.0479983764451535
1.024e-10,2.00153229783982,0.0479988820517504
2.048e-10,2.00153229891356,0.0480014825088605
4.096e-10,2.00153230638573,0.048008035178952
8.192e-10,2.00153234403837,0.0480211457092326
1e-09,2.00153237271896,0.0480269319272316
1.3616e-09,2.0015324533306,0.0480385076500979
2.0848e-09,2.00153270749892,0.0480616471914813
3.5312e-09,2.00153358754428,0.0481079262948823
6.424e-09,2.00153683389675,0.048200484479743
1.22096e-08,2.00154668771326,0.0483856007906989
2.37808e-08,2.0015848306219,0.0487558330119757
4.37808e-08,2.00170800062805,0.0493957514356404
6.37808e-08,2.00190146558125,0.0500356669416501
8.37808e-08,2.00216507741914,0.0506755786013946
1.037808e-07,2.00249868434186,0.0513154854859998
1.237808e-07,2.00290213123406,0.0519553866680957
1.437808e-07,2.00337526004387,0.0525952812221301
1.637808e-07,2.00391791012302,0.0532351682245882
1.837808e-07,2.00452991853202,0.0538750467518856
2.037808e-07,2.00521112031409,0.0545149158838473
2.237808e-07,2.00596134874112,0.0551547747007588
2.437808e-07,2.00678043553416,0.0557946222851728
2.637808e-07,2.00766821106153,0.0564344577211161
2.837808e-07,2.00862450451639,0.0570742800948989
3.037808e-07,2.00964914407622,0.0577140884942751
3.237808e-07,2.01074195704572,0.0583538820082255
3.437808e-07,2.01190276998524,0.0589936597297153
3.637808e-07,2.01313140882608,0.0596334207560256
3.837808e-07,2.01442769897381,0.0602731641846828
4.037808e-07,2.01579146540051,0.0609128891112521
4.237808e-07,2.01722253272795,0.0615525946390821
4.437808e-07,2.01872072530214,0.0621922798697365
4.637808e-07,2.02028586725996,0.0628319439076495
4.837808e-07,2.02191778258934,0.0634715858646487
5.037808e-07,2.02361629518314,0.0641112048534197
5.237808e-07,2.02538122888699,0.0647507999856489
5.437808e-07,2.02721240754222,0.0653903703750075
5.637808e-07,2.02910965502452,0.0660299151390916
5.837808e-07,2.03107279527868,0.0666694333981108
6.037808e-07,2.03310165234939,0.0673089242719911
6.237808e-07,2.03519605040901,0.0679483868858062
6.437808e-07,2.03735581378265,0.0685878203684163
6.637808e-07,2.03958076697038,0.0692272238507657
6.837808e-07,2.04187073466723,0.0698665964682101
7.037808e-07,2.04422554178039,0.0705059373463534
7.237808e-07,2.04664501344471,0.0711452456196724
7.437808e-07,2.04912897503772,0.0717845204325588
7.637808e-07,2.05167725219234,0.0724237609267845
7.837808e-07,2.05428967080807,0.0730629662490711
8.037808e-07,2.05696605706061,0.0737021355386641
8.23780800000001e-07,2.05970623741061,0.0743412679432982
8.43780800000001e-07,2.0625100386121,0.0749803626154205
8.63780800000001e-07,2.06537728771971,0.0756194187101534
8.83780800000001e-07,2.0683078120948,0.0762584353826449
9.03780800000001e-07,2.07130143941058,0.0768974117838321
9.23780800000001e-07,2.07435799765716,0.077536347076843
9.43780800000001e-07,2.07747731514637,0.0781752404251509
9.63780800000001e-07,2.08065922051536,0.0788140909928641
9.83780800000001e-07,2.08390354272983,0.0794528979460447
